molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL146289,O=C(NO)C1c2ccc(O)cc2CCN1S(=O)(=O)c1ccccc1,active,421.0
CHEMBL116944,C[C@@H](C[C@@H](CO)NC(=O)c1ccc(Oc2ccccc2)cc1)C(=O)NO,active,3.5
CHEMBL118497,C[C@@H](C[C@@H](COC(=O)CCC(=O)O)NC(=O)c1ccc(Oc2ccccc2)cc1)C(=O)NO,active,2.6
CHEMBL290377,CNC(=O)[C@@H](NC(=O)C(CCc1ccccc1)CP(=O)(O)Cc1ccc(Cc2ccccc2)cc1)C(C)(C)C,active,8.2
CHEMBL77163,CNC(=O)[C@@H](NC(=O)C(CCc1ccc(Cl)cc1)CP(=O)(O)Cc1ccc(Cc2ccccc2)cc1)C(C)(C)C,active,1.7
CHEMBL111856,O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)CCOCC1,active,0.24
CHEMBL77995,CNC(=O)[C@@H](NC(=O)C(CCc1ccccc1)CP(=O)(O)Cc1ccc(Cc2ccccc2OC)cc1)C(C)(C)C,active,4.0
CHEMBL78233,CNC(=O)[C@@H](NC(=O)C(CCc1ccccc1)CP(=O)(O)Cc1ccccc1)C(C)(C)C,active,93.0
CHEMBL308277,CNC(=O)[C@@H](NC(=O)C(CCc1ccc(Cl)cc1)CP(=O)(O)Cc1ccc(Cc2ccccc2OC)cc1)C(C)(C)C,active,5.0
CHEMBL298647,O=C(CN1Cc2c(Cl)cccc2NC1=O)NO,inactive,100000.0
CHEMBL299946,O=C(CN1Cc2c(Cl)cccc2NS1(=O)=O)NO,inactive,100000.0
CHEMBL181817,CC1CCC(OC(=O)NC(=O)c2cc(-c3ccc(OC(F)(F)F)cc3)cs2)CC1,active,400.0
CHEMBL179285,O=C(N[C@@H](C(=O)O)c1ccccc1)c1cc(-c2ccc(-c3ccncc3)cc2)cs1,active,14.0
CHEMBL368013,O=C(NCCN1CCOCC1)c1cc(-c2ccc(-c3ccccc3)cc2)cs1,active,400.0
CHEMBL367148,Cc1ccc(COC(=O)NC(=O)c2cc(-c3ccc(OC(F)(F)F)cc3)cs2)cc1,active,400.0
CHEMBL181682,COc1ccc(-c2csc(C(=O)NCCN3CCOCC3)c2)cc1,inactive,13000.0
CHEMBL181682,COc1ccc(-c2csc(C(=O)NCCN3CCOCC3)c2)cc1,active,230.0
CHEMBL179177,Cc1ccc(COC(=O)NC(=O)c2cc(-c3ccc(-c4ccccc4)cc3)cs2)cc1,active,70.0
CHEMBL182038,O=C(NCCN1CCOCC1)c1cc(-c2ccc(-c3ccncc3)cc2)cs1,active,100.0
CHEMBL182038,O=C(NCCN1CCOCC1)c1cc(-c2ccc(-c3ccncc3)cc2)cs1,active,100.0
CHEMBL180762,Cc1ccc(COC(=O)NC(=O)c2cc(-c3ccc(-c4ccccc4O)cc3)cs2)cc1,active,70.0
CHEMBL180875,O=C(NCCN1CCOCC1)c1cc(-c2ccc(C3CCCCC3)cc2)cs1,active,460.0
CHEMBL178652,O=C(N[C@@H](C(=O)O)c1ccccc1)c1cc(-c2ccc(OC(F)(F)F)cc2)cs1,active,180.0
CHEMBL179287,O=C(N[C@H](C(=O)O)c1ccccc1)c1cc(-c2ccc(OC(F)(F)F)cc2)cs1,intermediate,8300.0
CHEMBL181878,CC(=O)c1ccc(-c2ccc(-c3csc(C(=O)NCCN4CCOCC4)c3)cc2)cc1,active,57.0
CHEMBL183410,CCOCCC1(Oc2ccc(Oc3ccc(-c4nnco4)cc3)cc2)C(=O)NC(=O)C(N)C1=O,active,29.0
CHEMBL366111,O=C(NO)[C@@]1(O)COCC[C@H]1S(=O)(=O)c1ccc(OCc2ccc(Cl)cc2Cl)cc1,active,0.95
CHEMBL199666,CCCCCCC(CC(=O)O)C(=O)c1ccc(C#Cc2ccc(Cl)cc2)cc1,active,200.0
CHEMBL19611,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C,active,13.0
CHEMBL377700,O=C(O)CC(Cc1ccc(F)cc1)C(=O)c1ccc(C#Cc2ccccc2)cc1,intermediate,1140.0
